Nigeria,345.37,328.6,312.54,293.08,292.48,264.09,235.09,216.88,211.67,200.91,189.06,164.62,137.41,109.47
North Africa and Middle East,349.22,316.61,283.58,242.83,205.08,165.89,131.03,104.4,78.43,67.09,55.37,45.1,36.75,27.96
North Korea,210.82,116.87,93.9,72.85,52.97,38.75,32.12,31.05,30.48,122.21,125.72,38.47,33.77,24.92
Northern Mariana Islands,33.81,29.14,24.38,20.83,17.65,14.98,12.69,10.65,9.27,8.68,8.12,8.37,8.85,9.41
Norway,38.47,29.12,25.98,22.71,16.21,12.57,10.27,9.36,9.85,5.95,5.42,4.42,3.65,2.87
Oceania,218.45,198.05,172.59,145.57,117.26,95.99,81.59,77.5,71.29,65.48,63.5,65.01,61.03,51.86
Oman,474.57,443.49,409.75,360.33,259.42,190.5,127.37,78.22,48.72,30.01,17.03,9.99,11.36,11.28
Pakistan,303.15,271.81,236.38,198.01,173.13,153.22,137.62,124.23,109.42,97.81,88.89,85.22,75.66,58.47
Palestine,208.06,178.77,144.96,110.46,89.73,70.44,56.91,44.6,39.12,31.64,30.02,28.44,22.54,14.56
Panama,119.74,108.52,95.67,79.65,64.8,48.47,39.53,32.87,29.27,27.4,25.4,23.62,21.19,18.62
Papua New Guinea,250.57,230.94,205.84,174.12,138,112.33,97.08,94.1,85.39,77.1,73.52,74.47,69.1,57.46
Paraguay,140.92,112.67,102.09,93.91,84.64,74.2,61.03,49.38,38.84,35.36,31.72,28.44,23.34,15.52
Peru,367.92,312.86,282.98,228.15,209.3,163.39,138.99,114.82,81.88,59.88,41.5,31.83,24.33,17.16
Philippines,200.24,170.23,144.07,123.99,108.22,96.19,87.03,77.31,61.54,48.81,42.8,38.63,34.73,29.4
Poland,137.29,102.74,67.16,51.69,42.56,31.79,27.33,23.08,20.24,16.09,10.19,8.21,6.24,4.81
Portugal,146.75,136.35,110.36,92.91,76.9,45.68,32.13,23.44,15.8,10.62,8.13,5.37,4.02,3.94
Puerto Rico,115.22,78.54,60.56,55.98,35.78,26.27,23.66,18.88,17.05,15.04,12.07,10.86,9.56,10.68
Qatar,121.43,111.77,100.08,89.07,70.65,52.46,34.59,26.75,22.21,18.87,15.35,12.36,10.3,7.95
Romania,118.84,105.31,93.08,56.96,59.15,45.26,37.99,36.13,35.83,27.88,24.71,19.96,12.69,9.63
Russia,69.1,64.13,51.12,35.59,32.79,33.19,31.6,29.07,23.32,24.61,22.17,16.14,11.15,8.36
Rwanda,306.01,287.05,268.68,269,270,257.2,222.17,185.84,179.62,191.89,166.04,113.09,74.41,50.68
Saint Lucia,209.03,174.3,151.21,110.06,79.85,58.46,41.08,31.3,25.46,22.16,20.03,20.39,18.23,15.08
Saint Vincent and the Grenadines,190.33,175.88,146.36,116.96,94.99,75.83,56.48,39.07,32.71,29.32,27.06,24.88,22.65,18.93
Samoa,118.07,97.82,79.3,70.1,59,45.92,33.06,27.69,24.14,21.01,18.81,18.06,17.43,15.71
Sao Tome and Principe,320.27,310.61,260.03,175.92,147.73,118.32,118.74,129.43,108.44,96.83,80.17,65.39,45.68,34.06
Saudi Arabia,222.36,205.49,188.12,163.53,137.07,101.72,78.63,61.08,48.45,36.61,27.78,19.89,13.55,8.23
Senegal,332.03,308.78,293.37,286.91,275.5,246.99,211.19,180.95,148.45,141,126.17,97.97,73.48,53.14
Serbia,192.01,155.93,113.32,91.98,74.13,57.61,45.16,46.58,32.66,25.61,18.67,15.01,7.58,5.61
Seychelles,118.2,106.87,103.02,98.08,79.77,58.7,40.3,28.52,21.4,16.07,14.84,15.14,15.06,13.48
Sierra Leone,381.26,364.98,348.84,329.07,310.14,290.34,280.28,270.27,252.93,237.98,223.98,195.47,160.99,117.82
Singapore,123.99,74.79,51.67,38.98,30.07,19.96,16.56,12.31,8.63,5.86,3.62,3.19,2.67,2.12
Slovakia,136.3,58.33,38.58,37.95,34.54,31.27,26.46,20.93,15.92,13.58,10.67,9.47,7.5,6.52
Slovenia,122.43,97.16,70.52,52.88,37.96,27.85,19.43,16.22,11.01,7.79,6.05,4.93,3.49,2.32
